userId,itemId,categoryId,behaviorType,timestamp,time,date,hour
1,2268318,2520377,pv,1511544070,2017-11-25 01:21:10,2017-11-25,1
1,2333346,2520771,pv,1511561733,2017-11-25 06:15:33,2017-11-25,6
1,2576651,149192,pv,1511572885,2017-11-25 09:21:25,2017-11-25,9
1,3830808,4181361,pv,1511593493,2017-11-25 15:04:53,2017-11-25,15
1,4365585,2520377,pv,1511596146,2017-11-25 15:49:06,2017-11-25,15
1,4606018,2735466,pv,1511616481,2017-11-25 21:28:01,2017-11-25,21
1,230380,411153,pv,1511644942,2017-11-26 05:22:22,2017-11-26,5
1,3827899,2920476,pv,1511713473,2017-11-27 00:24:33,2017-11-27,0
1,3745169,2891509,pv,1511725471,2017-11-27 03:44:31,2017-11-27,3
1,1531036,2920476,pv,1511733732,2017-11-27 06:02:12,2017-11-27,6
1,2266567,4145813,pv,1511741471,2017-11-27 08:11:11,2017-11-27,8
1,2951368,1080785,pv,1511750828,2017-11-27 10:47:08,2017-11-27,10
1,3108797,2355072,pv,1511758881,2017-11-27 13:01:21,2017-11-27,13
1,1338525,149192,pv,1511773214,2017-11-27 17:00:14,2017-11-27,17
1,2286574,2465336,pv,1511797167,2017-11-27 23:39:27,2017-11-27,23
1,5002615,2520377,pv,1511839385,2017-11-28 11:23:05,2017-11-28,11
1,2734026,4145813,pv,1511842184,2017-11-28 12:09:44,2017-11-28,12
1,5002615,2520377,pv,1511844273,2017-11-28 12:44:33,2017-11-28,12
1,3239041,2355072,pv,1511855664,2017-11-28 15:54:24,2017-11-28,15
1,4615417,4145813,pv,1511870864,2017-11-28 20:07:44,2017-11-28,20
1,4152983,2355072,pv,1511871096,2017-11-28 20:11:36,2017-11-28,20
1,266784,2520771,pv,1511884553,2017-11-28 23:55:53,2017-11-28,23
1,46259,149192,pv,1511892772,2017-11-29 02:12:52,2017-11-29,2
1,266784,2520771,pv,1511909676,2017-11-29 06:54:36,2017-11-29,6
1,4092065,2355072,pv,1511910242,2017-11-29 07:04:02,2017-11-29,7
1,1305059,2520771,pv,1511911930,2017-11-29 07:32:10,2017-11-29,7
1,2791761,2355072,pv,1511914689,2017-11-29 08:18:09,2017-11-29,8
1,3239041,2355072,pv,1511939239,2017-11-29 15:07:19,2017-11-29,15
1,46259,149192,pv,1511940971,2017-11-29 15:36:11,2017-11-29,15
1,4973305,2520771,pv,1511969365,2017-11-29 23:29:25,2017-11-29,23
1,2087357,2131531,pv,1511975142,2017-11-30 01:05:42,2017-11-30,1
1,3157558,2520771,pv,1511984943,2017-11-30 03:49:03,2017-11-30,3
1,2087357,2131531,pv,1512004568,2017-11-30 09:16:08,2017-11-30,9
1,4170517,149192,pv,1512011019,2017-11-30 11:03:39,2017-11-30,11
1,1340922,4690421,pv,1512041260,2017-11-30 19:27:40,2017-11-30,19
1,3911125,982926,pv,1512044958,2017-11-30 20:29:18,2017-11-30,20
1,4170517,149192,pv,1512049438,2017-11-30 21:43:58,2017-11-30,21
1,3682069,4690421,pv,1512059832,2017-12-01 00:37:12,2017-12-01,0
1,4954999,411153,pv,1512061318,2017-12-01 01:01:58,2017-12-01,1
1,79715,2355072,pv,1512064350,2017-12-01 01:52:30,2017-12-01,1
1,4666650,4756105,pv,1512084223,2017-12-01 07:23:43,2017-12-01,7
1,1323189,3524510,pv,1512149435,2017-12-02 01:30:35,2017-12-02,1
1,4198227,1320293,pv,1512149929,2017-12-02 01:38:49,2017-12-02,1
1,4954999,411153,pv,1512172732,2017-12-02 07:58:52,2017-12-02,7
1,2041056,4801426,pv,1512187543,2017-12-02 12:05:43,2017-12-02,12
1,3219016,3002561,pv,1512190033,2017-12-02 12:47:13,2017-12-02,12
1,2104483,4756105,pv,1512194830,2017-12-02 14:07:10,2017-12-02,14
1,2028434,4801426,pv,1512224248,2017-12-02 22:17:28,2017-12-02,22
100,4572582,2188684,pv,1511550516,2017-11-25 03:08:36,2017-11-25,3
100,2971043,4869428,pv,1511550600,2017-11-25 03:10:00,2017-11-25,3
100,2379198,4869428,pv,1511550806,2017-11-25 03:13:26,2017-11-25,3
100,2971043,4869428,pv,1511550885,2017-11-25 03:14:45,2017-11-25,3
100,1220136,4869428,pv,1511550908,2017-11-25 03:15:08,2017-11-25,3
100,2518420,3425094,pv,1511551443,2017-11-25 03:24:03,2017-11-25,3
100,3763048,3425094,pv,1511551450,2017-11-25 03:24:10,2017-11-25,3
100,2518420,3425094,pv,1511551495,2017-11-25 03:24:55,2017-11-25,3
100,1953042,3425094,pv,1511551619,2017-11-25 03:26:59,2017-11-25,3
100,3763048,3425094,fav,1511551860,2017-11-25 03:31:00,2017-11-25,3
100,5100093,2945933,pv,1511552352,2017-11-25 03:39:12,2017-11-25,3
100,704268,223690,pv,1511563606,2017-11-25 06:46:46,2017-11-25,6
100,4115850,223690,fav,1511563834,2017-11-25 06:50:34,2017-11-25,6
100,2379198,4869428,pv,1511564961,2017-11-25 07:09:21,2017-11-25,7
100,2971043,4869428,fav,1511565222,2017-11-25 07:13:42,2017-11-25,7
100,1803559,1813868,pv,1511576533,2017-11-25 10:22:13,2017-11-25,10
100,1603476,2951233,buy,1511579908,2017-11-25 11:18:28,2017-11-25,11
100,3621238,1521931,pv,1511582166,2017-11-25 11:56:06,2017-11-25,11
100,2971043,4869428,buy,1511617549,2017-11-25 21:45:49,2017-11-25,21
100,2337874,1194311,pv,1511680485,2017-11-26 15:14:45,2017-11-26,15
100,4182583,1258177,pv,1511680521,2017-11-26 15:15:21,2017-11-26,15
100,2758020,2429887,pv,1511683649,2017-11-26 16:07:29,2017-11-26,16
100,4919803,2881542,pv,1511684032,2017-11-26 16:13:52,2017-11-26,16
100,3839112,2881542,pv,1511684109,2017-11-26 16:15:09,2017-11-26,16
100,4848310,2881542,pv,1511684220,2017-11-26 16:17:00,2017-11-26,16
100,3245421,2881542,pv,1511684245,2017-11-26 16:17:25,2017-11-26,16
100,2434962,3897386,pv,1511690835,2017-11-26 18:07:15,2017-11-26,18
100,3486895,4302328,pv,1511702025,2017-11-26 21:13:45,2017-11-26,21
100,3245421,2881542,pv,1511704155,2017-11-26 21:49:15,2017-11-26,21
100,3222578,2429887,pv,1511739395,2017-11-27 07:36:35,2017-11-27,7
100,2758020,2429887,pv,1511739402,2017-11-27 07:36:42,2017-11-27,7
100,2158340,2429887,pv,1511742127,2017-11-27 08:22:07,2017-11-27,8
100,2337874,1194311,pv,1511742199,2017-11-27 08:23:19,2017-11-27,8
100,3245421,2881542,fav,1511742273,2017-11-27 08:24:33,2017-11-27,8
100,2758020,2429887,pv,1511742275,2017-11-27 08:24:35,2017-11-27,8
100,3245421,2881542,pv,1511742513,2017-11-27 08:28:33,2017-11-27,8
100,2752250,2429887,pv,1511742799,2017-11-27 08:33:19,2017-11-27,8
100,2158340,2429887,fav,1511742875,2017-11-27 08:34:35,2017-11-27,8
100,598929,2429887,pv,1511742899,2017-11-27 08:34:59,2017-11-27,8
100,4182583,1258177,pv,1511745391,2017-11-27 09:16:31,2017-11-27,9
100,1819306,1194311,pv,1511745401,2017-11-27 09:16:41,2017-11-27,9
100,4182583,1258177,pv,1511750991,2017-11-27 10:49:51,2017-11-27,10
100,2337874,1194311,pv,1511751022,2017-11-27 10:50:22,2017-11-27,10
100,3658601,2342116,pv,1511757958,2017-11-27 12:45:58,2017-11-27,12
100,5153036,2342116,pv,1511758581,2017-11-27 12:56:21,2017-11-27,12
100,598929,2429887,buy,1511759458,2017-11-27 13:10:58,2017-11-27,13
